cbtt,station_id,Name,Basin
,14047100,"BUTTE CR NR FOSSIL, OR",John Day
,14050000,"DESCHUTES R BL SNOW CR NR LA PINE, OR",Deschutes
,14051000,"CULTUS CR AB CRANE PRAIRIE RES NR LA PINE, OR",Deschutes
,14055600,"ODELL CR NR LA PINE, OR",Deschutes
,14062500,"WALKER BASIN CN NR LA PINE, OR",Deschutes
,14074900,"SNOW CR NR SISTERS, OR",Deschutes
,14075000,"WHYCHUS CR NR SISTERS, OR",Deschutes
,14085100,"OCHOCO RES NR PRINEVILLE, OR",Deschutes
,14087380,"CROOKED R BL OSBORNE CAN, NR OPAL CITY,, OR",Deschutes
,14088500,"METOLIUS R AT ALLINGHAM RS NR SISTERS, OR",Deschutes
,14090350,"JEFFERSON CR NR CAMP SHERMAN, OR",Deschutes
,14090400,"WHITEWATER R NR CAMP SHERMAN, OR",Deschutes
,14091500,"METOLIUS R NR GRANDVIEW, OR",Deschutes
,14092500,"DESCHUTES R NR MADRAS, OR",Deschutes
,14092750,"SHITIKE CR AT PETERS PASTURE NR WARM SPRINGS, OR",Deschutes
,14093000,"SHITIKE CR AT WARM SPRINGS, OR",Deschutes
,14095500,"WARM SPRINGS R NR SIMNASHO, OR",Deschutes
,14096300,"MILL CR NR BADGER BUTTE NR WARM SPRINGS, OR",Deschutes
,14096850,"BEAVER CR BL QUARTZ CR NR SIMNASHO, OR",Deschutes
,14097100,"WARM SPRINGS R NR KAHNEETA HOT SPRINGS, OR",Deschutes
,14103000,"DESCHUTES R AT MOODY NR BIGGS, OR",Deschutes
,14104800,FIFTEENMILE CR AT KASER RANCH NR THE DALLES,Hood
,14105550,FIFTEENMILE CR NR THE DALLES,Hood
,14113200,"MOSIER CR NR MOSIER, OR",Hood
,14114000,"E FK I D CN NR MT HOOD, OR",Hood
,14116195,DEE IRRIGATION CN AB CAMP CR NR DEE,Hood
,14118500,"W FK HOOD R NR DEE, OR",Hood
,14120000,"HOOD R AT TUCKER BRIDGE NR HOOD R, OR",Hood
,14123500,"WHITE SALMON R NR UNDERWOOD, WA",Out of State-Part 14
,14128870,"COLUMBIA R BL BONNVILLE DAM, OR",Out of State-Part 14
,14134000,"SALMON R NR GOVERNMENT CAMP, OR",Sandy
,14137000,"SANDY R NR MARMOT, OR",Sandy
,14138720,"BULL RUN R AT LOWER FLUME NR BRIGHTWOOD, OR",Sandy
,14138800,"BLAZED ALDER CR NR RHODODENDRON, OR",Sandy
,14138850,"BULL RUN R NR MULTNOMAH FALLS, OR",Sandy
,14138870,"FIR CR NR BRIGHTWOOD, OR",Sandy
,14138900,"N FK BULL RUN R NR MULTNOMAH FALLS, OR",Sandy
,14139800,"S FK BULL RUN R NR BULL RUN, OR",Sandy
,14140000,"BULL RUN R NR BULL RUN (RIVER ONLY), OR",Sandy
,14141500,"LITTLE SANDY R NR BULL RUN, OR",Sandy
,14142500,"SANDY R BL BULL RUN R, NR BULL RUN, OR",Sandy
,14142800,"BEAVER CR AT TROUTDALE, OR",Sandy
,14144700,"COLUMBIA R AT VANCOUVER, WA",Out of State-Part 14
,14145500,"M FK WILLAMETTE R AB SALT CR, NR OAKRIDGE, OR",Willamette
,14148000,"M FK WILLAMETTE R BL N FK NR OAKRIDGE, OR",Willamette
,14150000,"M FK WILLAMETTE R NR DEXTER, OR",Willamette
,14150290,"FALL CREEK ABOVE NORTH FORK, NEAR LOWELL",Willamette
,14150800,"WINBERRY CR NR LOWELL, OR",Willamette
,14151000,"FALL CR BL WINBERRY CR NR FALL CR, OR",Willamette
,14152000,"M FK WILLAMETTE R AT JASPER, OR",Willamette
,14153500,"COAST FK WILLAMETTE R BL COTTAGE GR DAM, OR",Willamette
,14154500,"ROW R AB PITCHER CR NR DORENA, OR",Willamette
,14155500,"ROW R NR COTTAGE GROVE, OR",Willamette
,14157500,"COAST FK WILLAMETTE R NR GOSHEN, OR",Willamette
,14158500,"MCKENZIE R AT OUTLET OF CLEAR LAKE, OR",Willamette
,14158850,"MCKENZIE R BL TRAIL BR DAM NR BELKNAP SPRINGS, OR",Willamette
,14159110,"MCKENZIE R AB S FK, NR RAINBOW, OR",Willamette
,14159200,"S FK MCKENZIE R AB COUGAR LAKE NR RAINBOW, OR",Willamette
,14159500,"S FK MCKENZIE R NR RAINBOW, OR",Willamette
,14161500,"LOOKOUT CR NR BLUE R, OR",Willamette
,14162200,"BLUE R AT BLUE R, OR",Willamette
,14162500,"MCKENZIE R NR VIDA, OR",Willamette
,14163150,"MCKENZIE R BL LEABURG DAM, NR LEABURG, OR",Willamette
,14163900,"MCKENZIE R NR WALTERVILLE, OR",Willamette
,14164550,"CAMP CR AT CAMP CR RD BRIDGE, NR SPRINGFIELD, OR",Willamette
,14164700,"CEDAR CR AT SPRINGFIELD, OR",Willamette
,14164900,"MCKENZIE R AB HAYDEN BR AT SPRINGFIELD, OR",Willamette
,14165000,"MOHAWK R NR SPRINGFIELD, OR",Willamette
,14165500,"MCKENZIE R NR COBURG, OR",Willamette
,14166000,"WILLAMETTE R AT HARRISBURG, OR",Willamette
,14166500,"LONG TOM R NR NOTI, OR",Willamette
,14169000,"LONG TOM R NR ALVADOR, OR",Willamette
,14170000,"LONG TOM R AT MONROE, OR",Willamette
,14171000,"MARYS R NR PHILOMATH, OR",Willamette
,14171600,WILLAMETTE R AT CORVALLIS,Willamette
,14174000,"WILLAMETTE R AT ALBANY, OR",Willamette
,14178000,"N SANTIAM R BL BOULDER CR NR DETROIT, OR",Willamette
,14179000,"BREITENBUSH R AB FRENCH CR NR DETROIT, OR",Willamette
,14180300,"BLOWOUT CR NR DETROIT, OR",Willamette
,14181500,"N SANTIAM R AT NIAGARA, OR",Willamette
,14181900,"LITTLE N SANTIAM R AB EVANS CR NR GATES, OR",Willamette
,14182500,"LITTLE N SANTIAM R NR MEHAMA, OR",Willamette
,14183000,"N SANTIAM R AT MEHAMA, OR",Willamette
,14184100,"N SANTIAM R NR JEFFERSON, OR",Willamette
,14185000,"S SANTIAM R BL CASCADIA, OR",Willamette
,14185800,"M SANTIAM R NR CASCADIA, OR",Willamette
,14185900,"QUARTZVILLE CR NR CASCADIA, OR",Willamette
,14186200,"M SANTIAM R BL GREEN PETER LAKE NR FOSTER, OR",Willamette
,14187000,"WILEY CR NR FOSTER, OR",Willamette
,14187200,"S SANTIAM R NR FOSTER, OR",Willamette
,14187500,"S SANTIAM R AT WATERLOO, OR",Willamette
,14187600,"LEBANON SANTIAM CN NR LEBANON, OR",Willamette
,14188610,"SCHAFER CR NR LACOMB, OR",Willamette
,14188800,"THOMAS CR NR SCIO, OR",Willamette
,14189000,"SANTIAM R AT JEFFERSON, OR",Willamette
,14190500,"LUCKIAMUTE R NR SUVER, OR",Willamette
,14191000,"WILLAMETTE R AT SALEM, OR",Willamette
,14192500,"S YAMHILL R NR WILLAMINA, OR",Willamette
,14193000,"WILLAMINA CR NR WILLAMINA, OR",Willamette
,14194150,"S YAMHILL R AT MCMINNVILLE, OR",Willamette
,14194300,"N YAMHILL R NR FAIRDALE, OR",Willamette
,14196000,"HASKINS CR BEL RESER NR MCMINNVILLE, OR",Willamette
,14197900,"WILLAMETTE R AT NEWBERG, OR",Willamette
,14198400,"BULL CR NR WILHOIT, OR",Willamette
,14199704,"NATE CR TRIB NR COLTON, OR",Willamette
,14200000,"MOLALLA R NR CANBY, OR",Willamette
,14201300,"ZOLLNER CR NR MT ANGEL, OR",Willamette
,14201340,"PUDDING R NR WOODBURN, OR",Willamette
,14202000,"PUDDING R AT AURORA, OR",Willamette
,14202450,"TUALATIN R BL LEE FALLS NR CHERRY GROVE, OR",Willamette
,14202550,"AYERS CR AT NE NORTH VALLEY RD, NR GASTON, OR",Willamette
,14202630,"WAPATO CN AT PUMPHOUSE, AT GASTON",Willamette
,14202650,"WAPATO CR AT SW GASTON RD, AT GASTON, OR",Willamette
,14202850,"SCOGGINS CR AB HENRY HAGG LAKE NR GASTON, OR",Willamette
,14204800,"TUALATIN R AT GOLF COURSE RD NR CORNELIUS, OR",Willamette
,14205400,"E FK DAIRY CR NR MEACHAM CORNER, OR",Willamette
,14206200,"DAIRY CR AT RTE 8 NR HILLSBORO, OR",Willamette
,14206295,"TUALATIN R AT ROOD BRIDGE AT HILLSBORO, OR",Willamette
,14206900,"FANNO CR AT 56TH AVE, AT PORTLAND, OR",Willamette
,14206950,"FANNO CR AT DURHAM, OR",Willamette
,14206956,"TUALATIN R AT TUALATIN PARK NR TUALATIN, OR",Willamette
,14207740,"WILLAMETTE R AB FALLS AT OREGON CITY, OR",Willamette
,14207770,"WILLAMETTE R BL FALLS AT OREGON CITY, OR",Willamette
,14208700,"OAK GROVE FK NR GOVERNMENT CAMP, OR",Willamette
,14209000,"OAK GROVE FK AB POWERPLANT INTAKE, OR",Willamette
,14209500,"CLACKAMAS R AB THREE LYNX CR, OR",Willamette
,14210000,"CLACKAMAS R AT ESTACADA, OR",Willamette
,14211010,"CLACKAMAS R NR OREGON CITY, OR",Willamette
,14211315,"TRYON CR BL NETTLE CR, NR LAKE OSWEGO, OR",Willamette
,14211400,"JOHNSON CR AT REGNER RD AT GRESHAM, OR",Willamette
,14211499,"KELLEY CR AT SE 159TH DRIVE AT PORTLAND, OR",Willamette
,14211500,"JOHNSON CR AT SYCAMORE, OR",Willamette
,14211550,"JOHNSON CR AT MILWAUKIE, OR",Willamette
,14211720,"WILLAMETTE R AT PORTLAND, OR",Willamette
,14211814,"FAIRVIEW CR AT GLISAN ST NR GRESHAM, OR",Willamette
,14211820,"COLUMBIA SL AT PORTLAND, OR",Willamette
,14246900,"COLUMBIA R AT BEAVER ARMY TERMINAL NR QUINCY, OR",Out of State-Part 14
,14299800,"NEHALEM R NR VERNONIA, OR",North Coast
,14301000,"NEHALEM R NR FOSS, OR",North Coast
,14301500,"WILSON R NR TILLAMOOK, OR",North Coast
,14302020,"WILSON R AT SOLLIE SMITH BR, AT TILLAMOOK, OR",North Coast
,14302480,"TRASK R AB CEDAR CR NR TILLAMOOK, OR",North Coast
,14302900,"NESTUCCA R NR FAIRDALE, OR",North Coast
,14303200,"TUCCA CR NR BLAINE, OR",North Coast
,14303600,"NESTUCCA R NR BEAVER, OR",North Coast
,14304350,"SUNSHINE CR NR VALSETZ, OR",Middle Coast
,14305500,"SILETZ R AT SILETZ, OR",Middle Coast
,14306030,"YAQUINA R NR CHITWOOD, OR",Middle Coast
,14306340,"E FK LOBSTER CR NR ALSEA, OR",Middle Coast
,14306500,"ALSEA R NR TIDEWATER, OR",Middle Coast
,14306872,YACHATS R AB CLEAR CR NR YACHATS,Middle Coast
,14307620,"SIUSLAW R NR MAPLETON, OR",Middle Coast
,14308000,"S UMPQUA R AT TILLER, OR",Umpqua
,14308500,"ELK CR NR DREW, OR",Umpqua
,14308990,"COW CR AB GALESVILLE RES, NR AZALEA, OR",Umpqua
,14308995,"GALESVILLE RES NR AZALEA, OR",Umpqua
,14309000,"COW CR NR AZALEA, OR",Umpqua
,14309500,"W FK COW CR NR GLENDALE, OR",Umpqua
,14310000,"COW CR NR RIDDLE, OR",Umpqua
,14312000,"S UMPQUA R NR BROCKWAY, OR",Umpqua
,14312500,"LAKE CR NR DIAMOND LAKE, OR",Umpqua
,14313200,"NUMPQUA R AB WHITE MULE CK, NR TOKETEE FALLS,, OR",Umpqua
,14313500,"N UMPQUA R BL LEMOLO LAKE NR TOKETEE FALLS, OR",Umpqua
,14313700,"NUMPQUA R BL WARM SPRINGS CR NR TOKETEE FALLS,, OR",Umpqua
,14314500,"CLEARWATER R AB TRAP CR NR TOKETEE FALLS, OR",Umpqua
,14314700,"CLEARWATER R BL MOWICH CR, NR TOKETEE FALLS,, OR",Umpqua
,14315500,"N UMPQUA R AT TOKETEE FALLS, OR",Umpqua
,14315950,"FISH CR AB SLIPPER CR NR TOKETEE FALLS, O, OR",Umpqua
,14316455,"N.UMPQUA R BLW SODA SPGS RESV, NR TOKETEE FALLS,",Umpqua
,14316495,"BOULDER CR NR TOKETEE FALLS, OR",Umpqua
,14316500,"N UMPQUA R AB COPELAND CR NR TOKETEE FALLS, OR",Umpqua
,14316700,"STEAMBOAT CR NR GLIDE, OR",Umpqua
,14318000,"LITTLE R AT PEEL, OR",Umpqua
,14319500,"N UMPQUA R AT WINCHESTER, OR",Umpqua
,14319830,"S FK HINKLE CR NR NONPAREIL, OR",Umpqua
,14319835,"N FK HINKLE CR NR NONPAREIL, OR",Umpqua
,14320700,"CALAPOOYA CR NR OAKLAND, OR",Umpqua
,14320934,LITTLE WOLF CR NR TYEE,Umpqua
,14321000,"UMPQUA R NR ELKTON, OR",Umpqua
,14325000,"S FK COQUILLE R AT POWERS, OR",South Coast
,14326510,"S FK COQUILLE R AT MYRTLE POINT, OR",South Coast
,14327000,"N FK COQUILLE R NR MYRTLE POINT, OR",South Coast
,14327137,"FLORAS CR NR LANGLOIS, OR",South Coast
,14330000,"ROGUE R BL PROSPECT, OR",Rogue
,14332000,"S FK ROGUE R NR PROSPECT, OR",Rogue
,14335072,"ROGUE R AT COLE M RIVERS F HATCHERY NR MCLEOD, OR",Rogue
,14335200,S FK BIG BUTTE CR AB WILLOW CR NR BUTTE FALLS,Rogue
,14337500,"BIG BUTTE CR NR MCLEOD, OR",Rogue
,14337600,"ROGUE R NR MCLEOD, OR",Rogue
,14338000,"ELK CR NR TRAIL, OR",Rogue
,14342500,"N FK LITTLE BUTTE CR AT FISH LAKE NR LAKECREEK, OR",Rogue
,14348150,"ANTELOPE CR NR EAGLE POINT, OR",Rogue
,14352000,"NEIL CR AT MOUTH NR ASHLAND, OR",Rogue
,14352001,"BEAR CR BL NEAL CR NR ASHLAND, OR",Rogue
,14353000,"W FK ASHLAND CR NR ASHLAND, OR",Rogue
,14353500,"E FK ASHLAND CR NR ASHLAND, OR",Rogue
,14354100,"ASHLAND CR BL TREATMENT PLANT AT ASHLAND, OR",Rogue
,14355875,"WAGNER CR AT TALENT, OR",Rogue
,14360500,"EVANS CR AT WIMER, OR",Rogue
,14362250,"STAR G NR RUCH, OR",Rogue
,14365500,"L APPLEGATE R NR RUCH, OR",Rogue
,14369500,"APPLEGATE R NR WILDERVILLE, OR",Rogue
,14372500,"E FK ILLINOIS R NR TAKILMA, OR",Rogue
,14375100,"SUCKER CR BL L GRAYBACK CR NR HOLLAND, OR",Rogue
,14375200,"SUCKER CR AT BRIDGEVIEW, OR",Rogue
,14377100,"ILLINOIS R NR KERBY, OR",Rogue
,14400000,"CHETCO R NR BROOKINGS, OR",South Coast
,14076000A,WHYCHUS CR CN #1 NR SISTERS,Deschutes
